地名,センター,びん缶プラ,古紙ペット,可燃ごみ,不燃ごみ
天沼1・2丁目 本天沼1・2丁目 下井草1丁目,センター,木,水,火 金,水2 水4
天沼3丁目 本天沼3丁目 清水1・2・3丁目,センター,木,水,火 金,水1 水3
井草1・2・3丁目 下井草2・3・4・5丁目,センター,木,土,火 金,土2 土4
高井戸西1・2・3 上高井戸1・2・3丁目,センター,土,火,月 木,火1 火3
久我山1・2・3・4・5丁目,センター,土,火,月 木,火2 火4
宮前1・2・3・4・5丁目,センター,土,金,月 木,金1 金3
南荻窪3丁目 西荻南3・4丁目 西荻北1・2・3・4・5丁目,センター,水,金,月 木,金2 金4
南荻窪1・2・4丁目 西荻南1・2丁目 松庵1・2・3丁目,センター,水,金,月 木,金1 金3
今川1丁目 井草4丁目 上井草1丁目 桃井1丁目,センター,月,土,火 金,土2 土4
今川2・3・4丁目 井草5丁目 桃井2・3・4丁目 上井草2・3・4丁目 善福寺1・2・3・4丁目,センター,月,土,火 金,土1 土3
上荻2・3・4丁目,センター,月,金,水 土,金2 金4
阿佐谷南1・2丁目 阿佐谷北1丁目 ※阿佐谷北1丁目26・27・28・32・33・34・35・43・44番を除く（ただし中杉通りの西側のみ）,センター,金,月,水 土,月2 月4
阿佐谷北2・3・4・5・6丁目 阿佐谷北1丁目26・27・28・32・33・34・35・43・44番（ただし中杉通りの東側を除く）,センター,金,月,水 土,月1 月3
梅里2丁目,センター,金,木,水 土,木2 木4
阿佐谷南3丁目,センター,金,木,水 土,木1 木3
成田西1・2・3・4丁目 成田東1・2・3・4丁目 荻窪1丁目,センター,火,木,水 土,木2 木4
成田東5丁目 荻窪2・3・4・5丁目 上荻1丁目,センター,火,木,水 土,木1 木3
和田1・2・3丁目,センター,木,月,火 金,月2 月4
高円寺南1・5丁目 高円寺北1丁目,センター,木,月,火 金,月1 月3
永福1・2・3・4丁目,センター,土,水,月 木,水2 水4
下高井戸1・2・3・4丁目,センター,土,水,月 木,水1 水3
下高井戸5丁目 浜田山1・2・3・4丁目,センター,水,土,月 木,土2 土4
高井戸東1・2・3・4丁目,センター,水,土,月 木,土1 土3
高円寺南2・3・4丁目,センター,月,木,火 金,木2 木4
高円寺北2・3・4丁目,センター,月,木,火 金,木1 木3
堀ノ内1・2・3丁目,センター,金,火,水 土,火1 火3
松ノ木1・2・3丁目 大宮1・2丁目 梅里1丁目,センター,金,火,水 土,火2 火4
方南1・2丁目 和泉1丁目,センター,火,金,水 土,金2 金4
和泉2・3・4丁目,センター,火,金,水 土,金1 金3
